ScientificName,State,County,Town,Locality,Latitude,Longitude,Elevation,GPSOrMap,Date,HabitatType,Abundance,Distribution,PercentageCover,EvidenceOfReproduction,Reporter
Frangula alnus,MA,Essex,Andover,Foster's Island (near Pomp's Pond and Shawsheen River) ,42.6329,-71.15625,69,GPS,6/27/2006,Terrestrial,100-999,Multiple Patches,6-25%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Foster's Island (near Pomp's Pond and Shawsheen River),42.63153,-71.15647,59,GPS,6/27/2006,Terrestrial,100-999,Multiple Patches,6-25%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Foster's Island (near Pomp's Pond and Shawsheen River),42.63255,-71.15597,79,GPS,6/27/2006,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Foster's Island (near Pomp's Pond and Shawsheen River),42.63285,-71.1544,69,GPS,6/27/2006,Terrestrial,20-99,Multiple Patches,1-5%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Foster's Island (near Pomp's Pond and Shawsheen River),42.63418,-71.15358,79,GPS,6/27/2006,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Foster's Island (near Pomp's Pond and Shawsheen River),42.6354,-71.15402,59,GPS,6/27/2006,Terrestrial,100-999,Multiple Patches,1-5%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Foster's Island (near Pomp's Pond and Shawsheen River),42.6343,-71.15495,69,GPS,6/30/2006,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,Andover,near Pomp's Pond,42.6297,-71.15625,69,GPS,6/30/2006,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Haggett's Pond Conservation Area,42.64948,-71.2053,131,GPS,8/9/2006,Terrestrial,Less than 20,Multiple Patches,Less than 1%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Haggett's Pond Conservation Area,42.6496,-71.20415,118,GPS,8/31/2006,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Haggett's Pond Conservation Area,42.6562,-71.1954,138,GPS,9/4/2006,Terrestrial,Less than 20,Multiple Patches,Less than 1%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Andover,Haggett's Pond Conservation Area,42.649,-71.193,118,Map,9/4/2006,Terrestrial,20-99,Multiple Patches,1-5%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Essex,Essex River floodplain at corner Apple St./Southern Av.,42.61667,-70.77306,20,Map,6/15/2007,Terrestrial,Less than 20,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Essex,Warren-Weld Woodland,42.61972,-70.78917,49,Map,6/15/2007,Terrestrial,Less than 20,Single Patch,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Essex,Stavros Reservation north of Golf Club,42.65085,-70.78689,9,Map,11/2/2008,Terrestrial,20-99,Multiple Patches,,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Essex,Stavros Reservation north of Golf Club,42.65103,-70.78538,21,Map,11/2/2008,Terrestrial,More than 1000,Dense Throughout,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Essex,Stavros Reservation north of Golf Club,42.65062,-70.78362,27,Map,11/2/2008,Terrestrial,More than 1000,Dense Throughout,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Essex,Stavros Reservation north of Golf Club,42.65024,-70.78314,21,Map,11/2/2008,Terrestrial,100-999,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Essex,Stavros Reservation north of Golf Club,42.65181,-70.78591,19,Map,11/2/2008,Terrestrial,100-999,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Hamilton,Chebacco Lake - West of boat ramp,42.60485,-70.8119,49,Map,11/10/2002,Terrestrial,Less than 20,No Invasives,1-5%,Yes,Jeannine Haendiges
Frangula alnus,MA,Essex,Hamilton,Gravelly Pond - Northern Edge,42.6023,-70.81264,49,Map,9/29/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Jeannine Haendiges
Frangula alnus,MA,Essex,Hamilton,Chebacco Road,42.59917,-70.80694,24,Map,5/19/2007,Terrestrial,20-99,Evenly Sparse,,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Ipswich,Mainland approximately 50 meters from parking area along marsh shore of field at Hamlin Reservation,42.66722,-70.81194,1,Map,5/29/2004,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Shrub edge of mowed field and forest about 20 meters before causeway to Eagle Island (to the right of trail going toward island),42.66778,-70.81139,8,Map,5/29/2004,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,In forest on Eagle Island,42.67028,-70.80944,20,Map,5/29/2004,Terrestrial,100-999,No Invasives,,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Along trail on Eagle Island - large (2 ft diameter) Acer platanoides with numerous small seedlings nearby,42.67111,-70.80972,15,Map,5/29/2004,Terrestrial,20-99,Multiple Patches,1-5%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Crane Beach Reservation Castle Neck Ipswich,42.682,-70.762,0,GPS,6/9/2004,Terrestrial,100-999,Multiple Patches,6-25%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Crane Beach Reservation Castle Neck Ipswich,42.682,-70.758,15,Map,6/9/2004,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Crane Beach Reservation Castle Neck Ipswich,42.679,-70.75,8,Map,6/9/2004,Terrestrial,Less than 20,Multiple Patches,Less than 1%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Crane Beach Reservation Castle Neck Ipswich,42.679,-70.745,12,Map,6/9/2004,Terrestrial,Single Plant,Single Plant,Less than 1%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Crane Beach Reservation Castle Neck Ipswich,42.679,-70.744,10,Map,6/9/2004,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Crane Beach Reservation Castle Neck Ipswich,42.68,-70.762,13,Map,6/9/2004,Terrestrial,100-999,Multiple Patches,26-50%,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Ipswich,Next to reservation parking lot off Argilla Road,42.6669,-70.8144,25,Map,6/18/2005,Terrestrial,20-99,Multiple Patches,,Yes,Richard S. Barry
Frangula alnus,MA,Essex,Lawrence,Lawrence Riverfront State Park ,42.6947,-71.17173,79,GPS,8/8/2006,Terrestrial,Less than 20,Multiple Patches,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,Lawrence,Lawrence Riverfront State Park,42.69238,-71.1753,46,GPS,8/8/2006,Terrestrial,100-999,Multiple Patches,1-5%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Lawrence,Lawrence Riverfront State Park,42.694,-71.174,39,GPS,8/8/2006,Terrestrial,20-99,Multiple Patches,Less than 1%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Lawrence,Lawrence Riverfront State Park,42.69478,-71.1731,59,GPS,8/8/2006,Terrestrial,Less than 20,Multiple Patches,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,Lawrence,Lawrence Riverfront State Park,42.6959,-71.17125,49,GPS,8/8/2006,Terrestrial,Less than 20,Multiple Patches,Less than 1%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Lawrence,Lawrence Riverfront State Park,42.692,-71.1773,39,GPS,8/8/2006,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,Lynn,Lynn Woods Reservation parking Great Woods Rd. entrance,42.493,-70.97803,30,Map,7/4/2008,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Trail head at Pine road,42.59194,-70.805,20,Map,5/28/2007,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Cedar Swamp Boardwalk,42.59472,-70.77167,18,Map,6/3/2007,Terrestrial,100-999,Multiple Patches,51-75%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Cedar Swamp Main trail in south of swamp bordering Rt. 128,42.59111,-70.77361,22,Map,6/3/2007,Terrestrial,Less than 20,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Cedar Swamp/ Millstone Hill Main trail just north of Rt.128,42.59139,-70.77722,18,Map,6/3/2007,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Main entrance / parking lot Cedar Swamp,42.59667,-70.76833,20,Map,6/3/2007,Terrestrial,100-999,Evenly Sparse,26-50%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Singing Beach entrance area,42.56972,-70.76,3,Map,5/28/2007,Terrestrial,Less than 20,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,main trail fireroad,42.58972,-70.81139,98,Map,5/28/2007,Terrestrial,100-999,Evenly Sparse,26-50%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Gull Pond area,42.59056,-70.81278,56,Map,5/28/2007,Terrestrial,Less than 20,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Gull Pond / Rt. 128,42.58917,-70.8125,98,Map,5/28/2007,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Chubb Creek area Driveway to Brookwood School,42.56972,-70.79833,20,Map,5/28/2007,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Clara B. Winthrop Preserve,42.57373,-70.78402,49,Map,7/22/2008,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Clara B. Winthrop Preserve,42.57373,-70.78402,49,Map,7/22/2008,Terrestrial,Single Plant,Single Plant,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Clara B. Winthrop Preserve,42.57303,-70.78449,59,Map,7/22/2008,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Manchester,Clara B Winthrop Preserve,42.57273,-70.78303,69,Map,7/22/2008,Terrestrial,Less than 20,Single Patch,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,North Andover,Charles Ward Reservation Boston Hill Disturbed area.  Historically abandoned farm area? Located between field (to SE) open lot of Mass Electric (to N) and a more naturally forested area (to the west).,42.64553,-71.09288,384,GPS,6/1/2006,Terrestrial,Less than 20,Single Patch,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,north-central portion of Weir HIll Reservation,42.698,-71.1044,167,GPS,7/7/2006,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation - eastern portion along Cochichewick Trail,42.69413,-71.10095,0,GPS,7/7/2006,Terrestrial,100-999,Multiple Patches,6-25%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation - off Miller's Path,42.69177,-71.09905,108,GPS,7/7/2006,Terrestrial,20-99,Multiple Patches,1-5%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation,42.6968,-71.10735,236,GPS,7/8/2006,Terrestrial,Less than 20,Single Patch,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation,42.69557,-71.10847,246,GPS,7/8/2006,Terrestrial,100-999,Multiple Patches,6-25%,No,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation ,42.6899,-71.10578,128,GPS,7/19/2006,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation,42.68997,-71.10553,118,GPS,7/19/2006,Terrestrial,Less than 20,Multiple Patches,Less than 1%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation ,42.69007,-71.1043,128,GPS,7/19/2006,Terrestrial,Less than 20,Multiple Patches,Less than 1%,Yes,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation,42.694,-71.1052,295,GPS,7/19/2006,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,North Andover,Weir Hill Reservation,42.6967,-71.1116,112,GPS,7/21/2006,Terrestrial,Less than 20,Multiple Patches,Less than 1%,No,Susan Hegarty
Frangula alnus,MA,Essex,Salem,116 Highland Ave. powerlines above creek,42.50994,-70.91054,59,Map,6/28/2008,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,116 Highland Ave. Powerline above creek,42.51009,-70.9109,59,Map,6/28/2008,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,116 Highland Ave. Powerline above creek,42.51009,-70.9109,59,Map,6/28/2008,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Wilson Rd. creek on east side,42.50969,-70.91024,59,Map,6/28/2008,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Entrance to Highland Park in Salem Woods from Golf Course,42.50437,-70.90824,49,Map,8/28/2008,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Highland Park in Salem Woods at Golf Course,42.50403,-70.90866,49,Map,8/28/2008,Terrestrial,Less than 20,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Highland Park in Salem Woods at Golf Course,42.50264,-70.9104,49,Map,8/28/2008,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Highland Park in Salem Woods at Golf Course,42.502,-70.91153,49,Map,8/28/2008,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Salem Woods,42.49772,-70.90877,12,Map,5/30/2009,Terrestrial,100-999,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Salem Woods,42.49627,-70.90864,12,Map,5/30/2009,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Salem Woods,42.4931,-70.90941,21,Map,5/30/2009,Terrestrial,100-999,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Salem Woods,42.49306,-70.90754,9,Map,5/30/2009,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Salem,Salem Woods,42.48997,-70.91245,18,Map,5/30/2009,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Saugus,Saugus River Oakland Vale Prankers Pond behind retail stores on Rt 1 N.,42.47978,-71.01955,12,Map,7/9/2009,Terrestrial,20-99,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Saugus,Saugus River Oakland Vale Prankers Pond behind retail stores on Rt 1N.,42.47869,-71.01962,12,Map,7/9/2009,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Wenham,Trail at margin of fen,42.59389,-70.81806,15,Map,5/19/2007,Terrestrial,20-99,Evenly Sparse,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Essex,Wenham,Salem Beverly Waterway Canal,42.60993,-70.90748,39,Map,8/23/2008,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Herbert Petschelt
Frangula alnus,MA,Franklin,Conway,.2 miles north of the intersetion with Main st and poland road on the west side of the road,42.48528,-72.72361,1050,Map,10/3/2004,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Sherrill Redmon
Frangula alnus,MA,Franklin,Conway,N. Poland Road . 2 miles norht of intersection with Main Poland Road.,42.48333,-72.73889,1050,Map,10/3/2004,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Sherrill Redmon
Frangula alnus,MA,Franklin,Northfield,NMH land along unnamed drainage that is not shown on map,42.69806,-72.43722,482,Map,10/25/2002,Terrestrial,Less than 20,No Invasives,,Yes,Joan Deely
Frangula alnus,MA,Franklin,Northfield,Birnam Road intersection with School Street heading North on Birnam Road - East side of street,42.69722,-72.44361,331,Map,10/23/2002,Terrestrial,20-99,No Invasives,,No,Joan Deely
Frangula alnus,MA,Franklin,Northfield,NMH Nature Area - Center of town - off School Street - entrance East of Mill Brook; Hay-scented fern area,42.6975,-72.44639,299,Map,10/5/2002,Terrestrial,20-99,No Invasives,,Yes,Joan Deely
Frangula alnus,MA,Franklin,Northfield,NMH nature land - East side of Mill Brook; Over second bridge,42.69722,-72.4475,295,Map,10/5/2002,Terrestrial,100-999,No Invasives,,Yes,Joan Deely
Frangula alnus,MA,Franklin,Northfield,NMH land in center of town; From Main Street go straight on trail take first right (down towards water); Near log steps,42.7025,-72.45111,295,Map,10/2/2002,Terrestrial,100-999,No Invasives,,Yes,Joan Deely
Frangula alnus,MA,Franklin,Northfield,NMH land in center of town.  From Main Street go straight on trail don't take first right - go up to field,42.70306,-72.45111,295,Map,10/2/2002,Terrestrial,20-99,No Invasives,,No,Joan Deely
Frangula alnus,MA,Franklin,Warwick,Mount Grace Conservation Land Trust (MGCLT) Arthur Iverson parcel along HEdge Brook (USGS map names it wrong - it was named after minister in town so it is Hedge Brook not Hodge Brook).,42.67083,-72.3225,761,Map,8/17/2005,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Karro Frost
Frangula alnus,MA,Franklin,Warwick,MGCLT (Mount Grace Conservation Land Trust) Arthur Iverson parcel the Dubovic cellar hole.,42.67389,-72.3275,984,Map,8/17/2005,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Karro Frost
Frangula alnus,MA,Franklin,Warwick,MGCLT (Mount Grace Conservation Land Trust) Arthur Iverson parcel the Dubovic cellar hole.,42.67389,-72.3275,984,Map,8/17/2005,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Karro Frost
Frangula alnus,MA,Franklin,Warwick,MGCLT (Mount Grace Land Conservation Trust) Arthur Iverson parcel Dubovic homesite (burned by town as training in 1990s) (built around 1900s),42.67389,-72.3275,984,Map,8/17/2005,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Karro Frost
Frangula alnus,MA,Franklin,Warwick,MGCLT (Mount Grace Conservation Land Trust) Arthur Iverson parcel along Hedge Brook (USGS misnames it Hodge Brook).,42.67083,-72.3225,751,Map,8/17/2005,Terrestrial,20-99,Multiple Patches,6-25%,Yes,Karro Frost
Frangula alnus,MA,Hampden,Holyoke,East Mountain Wildlife Management Area; approximately 350 meters West-Southwest of gate at Cherry Street (on East side of Wildlife Management Area); plot on South side of Cherry Street Extension; approximately 20 meters East of fork in trail; approximately 1400 meters Southwest of water tanks,42.20199,-72.65308,497,Map,10/23/2002,Terrestrial,20-99,No Invasives,26-50%,Yes,Robin MacEwan
Frangula alnus,MA,Hampden,Holyoke,East Mountain Wildlife Management Area; approximately 400 meters Southwest of water tanks,42.21178,-72.65096,640,Map,10/23/2002,Terrestrial,Less than 20,No Invasives,1-5%,Yes,Robin MacEwan
Frangula alnus,MA,Hampden,Holyoke,East Mountain Wildlife Management Area; East side of pulloff/parking at North entrance to Wildlife Management Area (off Easthampton Road),42.22431,-72.6462,542,Map,10/29/2002,Terrestrial,Less than 20,No Invasives,6-25%,Yes,Robin MacEwan
